cod_grupo;grupo;cod_proceso;proceso;cod_articulo;articulo;peso;cod_estandar;nombre_estandar;t_estandar
2;MANTENIMIENTO;3;ENSAMBLAR;308;ANDAMIO COLGANTE DE 100 M (2 GRILLETES);56;203308;ENSAMBLAR_308;6
2;MANTENIMIENTO;4;LIMPIAR;308;ANDAMIO COLGANTE DE 100 M (2 GRILLETES);56;204308;LIMPIAR_308;20
2;MANTENIMIENTO;5;LUBRICAR / ENGRASAR;308;ANDAMIO COLGANTE DE 100 M (2 GRILLETES);56;205308;LUBRICAR / ENGRASAR_308;3
2;MANTENIMIENTO;1;MANTENIMIENTO;308;ANDAMIO COLGANTE DE 100 M (2 GRILLETES);56;201308;MANTENIMIENTO_308;55
2;MANTENIMIENTO;6;MARCAR / PINTAR;308;ANDAMIO COLGANTE DE 100 M (2 GRILLETES);56;206308;MARCAR / PINTAR_308;6
2;MANTENIMIENTO;7;SOLDADURA;308;ANDAMIO COLGANTE DE 100 M (2 GRILLETES);56;207308;SOLDADURA_308;10
2;MANTENIMIENTO;2;ENDEREZAR;1636;ANDAMIO COLGANTE DE 100 M CON ABRAZADERA (2 GRILLETES);56;2021636;ENDEREZAR_1636;10
2;MANTENIMIENTO;3;ENSAMBLAR;1636;ANDAMIO COLGANTE DE 100 M CON ABRAZADERA (2 GRILLETES);56;2031636;ENSAMBLAR_1636;6
2;MANTENIMIENTO;4;LIMPIAR;1636;ANDAMIO COLGANTE DE 100 M CON ABRAZADERA (2 GRILLETES);56;2041636;LIMPIAR_1636;20
2;MANTENIMIENTO;5;LUBRICAR / ENGRASAR;1636;ANDAMIO COLGANTE DE 100 M CON ABRAZADERA (2 GRILLETES);56;2051636;LUBRICAR / ENGRASAR_1636;3
2;MANTENIMIENTO;1;MANTENIMIENTO;1636;ANDAMIO COLGANTE DE 100 M CON ABRAZADERA (2 GRILLETES);56;2011636;MANTENIMIENTO_1636;55
2;MANTENIMIENTO;6;MARCAR / PINTAR;1636;ANDAMIO COLGANTE DE 100 M CON ABRAZADERA (2 GRILLETES);56;2061636;MARCAR / PINTAR_1636;6
2;MANTENIMIENTO;7;SOLDADURA;1636;ANDAMIO COLGANTE DE 100 M CON ABRAZADERA (2 GRILLETES);56;2071636;SOLDADURA_1636;10
2;MANTENIMIENTO;2;ENDEREZAR;304;ANDAMIO COLGANTE DE 30 M (2 GRILLETES);60;202304;ENDEREZAR_304;20
2;MANTENIMIENTO;3;ENSAMBLAR;304;ANDAMIO COLGANTE DE 30 M (2 GRILLETES);60;203304;ENSAMBLAR_304;6
2;MANTENIMIENTO;5;LUBRICAR / ENGRASAR;304;ANDAMIO COLGANTE DE 30 M (2 GRILLETES);60;205304;LUBRICAR / ENGRASAR_304;6
2;MANTENIMIENTO;1;MANTENIMIENTO;304;ANDAMIO COLGANTE DE 30 M (2 GRILLETES);60;201304;MANTENIMIENTO_304;55
2;MANTENIMIENTO;6;MARCAR / PINTAR;304;ANDAMIO COLGANTE DE 30 M (2 GRILLETES);60;206304;MARCAR / PINTAR_304;10
2;MANTENIMIENTO;7;SOLDADURA;304;ANDAMIO COLGANTE DE 30 M (2 GRILLETES);60;207304;SOLDADURA_304;3
2;MANTENIMIENTO;2;ENDEREZAR;1629;ANDAMIO COLGANTE DE 30 M CON ABRAZADERA;60;2021629;ENDEREZAR_1629;10
2;MANTENIMIENTO;3;ENSAMBLAR;1629;ANDAMIO COLGANTE DE 30 M CON ABRAZADERA;60;2031629;ENSAMBLAR_1629;6
2;MANTENIMIENTO;4;LIMPIAR;1629;ANDAMIO COLGANTE DE 30 M CON ABRAZADERA;60;2041629;LIMPIAR_1629;20
2;MANTENIMIENTO;5;LUBRICAR / ENGRASAR;1629;ANDAMIO COLGANTE DE 30 M CON ABRAZADERA;60;2051629;LUBRICAR / ENGRASAR_1629;3
2;MANTENIMIENTO;1;MANTENIMIENTO;1629;ANDAMIO COLGANTE DE 30 M CON ABRAZADERA;60;2011629;MANTENIMIENTO_1629;55
2;MANTENIMIENTO;6;MARCAR / PINTAR;1629;ANDAMIO COLGANTE DE 30 M CON ABRAZADERA;60;2061629;MARCAR / PINTAR_1629;6
2;MANTENIMIENTO;7;SOLDADURA;1629;ANDAMIO COLGANTE DE 30 M CON ABRAZADERA;60;2071629;SOLDADURA_1629;10
2;MANTENIMIENTO;2;ENDEREZAR;309;ANDAMIO COLGANTE DE 40 M (2 GRILLETES);60;202309;ENDEREZAR_309;10
2;MANTENIMIENTO;3;ENSAMBLAR;309;ANDAMIO COLGANTE DE 40 M (2 GRILLETES);60;203309;ENSAMBLAR_309;6
2;MANTENIMIENTO;4;LIMPIAR;309;ANDAMIO COLGANTE DE 40 M (2 GRILLETES);60;204309;LIMPIAR_309;20
2;MANTENIMIENTO;5;LUBRICAR / ENGRASAR;309;ANDAMIO COLGANTE DE 40 M (2 GRILLETES);60;205309;LUBRICAR / ENGRASAR_309;3
2;MANTENIMIENTO;1;MANTENIMIENTO;309;ANDAMIO COLGANTE DE 40 M (2 GRILLETES);60;201309;MANTENIMIENTO_309;55
2;MANTENIMIENTO;6;MARCAR / PINTAR;309;ANDAMIO COLGANTE DE 40 M (2 GRILLETES);60;206309;MARCAR / PINTAR_309;6
2;MANTENIMIENTO;7;SOLDADURA;309;ANDAMIO COLGANTE DE 40 M (2 GRILLETES);60;207309;SOLDADURA_309;10
2;MANTENIMIENTO;2;ENDEREZAR;1630;ANDAMIO COLGANTE DE 40 M CON ABRAZADERA;60;2021630;ENDEREZAR_1630;10
2;MANTENIMIENTO;3;ENSAMBLAR;1630;ANDAMIO COLGANTE DE 40 M CON ABRAZADERA;60;2031630;ENSAMBLAR_1630;6
2;MANTENIMIENTO;4;LIMPIAR;1630;ANDAMIO COLGANTE DE 40 M CON ABRAZADERA;60;2041630;LIMPIAR_1630;20
2;MANTENIMIENTO;5;LUBRICAR / ENGRASAR;1630;ANDAMIO COLGANTE DE 40 M CON ABRAZADERA;60;2051630;LUBRICAR / ENGRASAR_1630;3
2;MANTENIMIENTO;1;MANTENIMIENTO;1630;ANDAMIO COLGANTE DE 40 M CON ABRAZADERA;60;2011630;MANTENIMIENTO_1630;55
2;MANTENIMIENTO;6;MARCAR / PINTAR;1630;ANDAMIO COLGANTE DE 40 M CON ABRAZADERA;60;2061630;MARCAR / PINTAR_1630;6
2;MANTENIMIENTO;7;SOLDADURA;1630;ANDAMIO COLGANTE DE 40 M CON ABRAZADERA;60;2071630;SOLDADURA_1630;10
2;MANTENIMIENTO;2;ENDEREZAR;305;ANDAMIO COLGANTE DE 50 M (2 GRILLETES);51;202305;ENDEREZAR_305;10
2;MANTENIMIENTO;3;ENSAMBLAR;305;ANDAMIO COLGANTE DE 50 M (2 GRILLETES);51;203305;ENSAMBLAR_305;6
2;MANTENIMIENTO;4;LIMPIAR;305;ANDAMIO COLGANTE DE 50 M (2 GRILLETES);51;204305;LIMPIAR_305;20
2;MANTENIMIENTO;5;LUBRICAR / ENGRASAR;305;ANDAMIO COLGANTE DE 50 M (2 GRILLETES);51;205305;LUBRICAR / ENGRASAR_305;3
2;MANTENIMIENTO;1;MANTENIMIENTO;305;ANDAMIO COLGANTE DE 50 M (2 GRILLETES);51;201305;MANTENIMIENTO_305;55
2;MANTENIMIENTO;6;MARCAR / PINTAR;305;ANDAMIO COLGANTE DE 50 M (2 GRILLETES);51;206305;MARCAR / PINTAR_305;6
2;MANTENIMIENTO;7;SOLDADURA;305;ANDAMIO COLGANTE DE 50 M (2 GRILLETES);51;207305;SOLDADURA_305;10
2;MANTENIMIENTO;2;ENDEREZAR;1631;ANDAMIO COLGANTE DE 50 M CON ABRAZADERA (2 GRILLETES);51;2021631;ENDEREZAR_1631;10
2;MANTENIMIENTO;3;ENSAMBLAR;1631;ANDAMIO COLGANTE DE 50 M CON ABRAZADERA (2 GRILLETES);51;2031631;ENSAMBLAR_1631;6
2;MANTENIMIENTO;4;LIMPIAR;1631;ANDAMIO COLGANTE DE 50 M CON ABRAZADERA (2 GRILLETES);51;2041631;LIMPIAR_1631;20
2;MANTENIMIENTO;5;LUBRICAR / ENGRASAR;1631;ANDAMIO COLGANTE DE 50 M CON ABRAZADERA (2 GRILLETES);51;2051631;LUBRICAR / ENGRASAR_1631;3
2;MANTENIMIENTO;1;MANTENIMIENTO;1631;ANDAMIO COLGANTE DE 50 M CON ABRAZADERA (2 GRILLETES);51;2011631;MANTENIMIENTO_1631;55
2;MANTENIMIENTO;6;MARCAR / PINTAR;1631;ANDAMIO COLGANTE DE 50 M CON ABRAZADERA (2 GRILLETES);51;2061631;MARCAR / PINTAR_1631;6
2;MANTENIMIENTO;7;SOLDADURA;1631;ANDAMIO COLGANTE DE 50 M CON ABRAZADERA (2 GRILLETES);51;2071631;SOLDADURA_1631;10
2;MANTENIMIENTO;2;ENDEREZAR;306;ANDAMIO COLGANTE DE 60 M (2 GRILLETES);52;202306;ENDEREZAR_306;10
2;MANTENIMIENTO;3;ENSAMBLAR;306;ANDAMIO COLGANTE DE 60 M (2 GRILLETES);52;203306;ENSAMBLAR_306;6
2;MANTENIMIENTO;4;LIMPIAR;306;ANDAMIO COLGANTE DE 60 M (2 GRILLETES);52;204306;LIMPIAR_306;20
2;MANTENIMIENTO;5;LUBRICAR / ENGRASAR;306;ANDAMIO COLGANTE DE 60 M (2 GRILLETES);52;205306;LUBRICAR / ENGRASAR_306;3
2;MANTENIMIENTO;1;MANTENIMIENTO;306;ANDAMIO COLGANTE DE 60 M (2 GRILLETES);52;201306;MANTENIMIENTO_306;55
